Season	Family	Species	Interval	TreeNumber	MeanGs	MeanLWP
Spring17	Myrtaceae	ER	4	1	252.75	17.5
Spring17	Myrtaceae	ER	5	4	287	25
Spring17	Myrtaceae	ER	5	5	176.4333333	16.5
Spring17	Myrtaceae	ER	5	3	229.6	20.5
Spring17	Myrtaceae	ER	5	2	218.4666667	23
Spring17	Myrtaceae	ER	5	1	189.1	18.5
Spring17	Myrtaceae	ER	6	4	206.175	22.5
Spring17	Myrtaceae	ER	6	5	192.225	17
Spring17	Myrtaceae	ER	6	3	255.0333333	19.5
Spring17	Myrtaceae	ER	6	2	217.075	19.5
Spring17	Myrtaceae	ER	6	1	161.5	14
Spring17	Erythroxylaceae	EROT	1	1	56.46666667	61.25
Spring17	Erythroxylaceae	EROT	1	2	75.4	57
Spring17	Erythroxylaceae	EROT	1	3	46.53333333	30.75
Spring17	Erythroxylaceae	EROT	1	4	67.7	52
Spring17	Erythroxylaceae	EROT	1	5	52.46666667	58
Spring17	Erythroxylaceae	EROT	2	1	55.6	58
Spring17	Erythroxylaceae	EROT	2	2	83.4	56.5
Spring17	Erythroxylaceae	EROT	2	3	97.2	33.5
Spring17	Erythroxylaceae	EROT	2	4	85.9	55
Spring17	Erythroxylaceae	EROT	2	5	68.5	60.5
Spring17	Erythroxylaceae	EROT	3	1	59.06666667	63
Spring17	Erythroxylaceae	EROT	3	2	100.5	60.5
Spring17	Erythroxylaceae	EROT	3	3	117.7666667	41.5
Spring17	Erythroxylaceae	EROT	3	4	59.7	57.5
Spring17	Erythroxylaceae	EROT	3	5	55.6	65
Spring17	Erythroxylaceae	EROT	4	1	67.36666667	66
Spring17	Erythroxylaceae	EROT	4	2	94.2	62
Spring17	Erythroxylaceae	EROT	4	3	121.6333333	40
Spring17	Erythroxylaceae	EROT	4	4	74.7	55.5
Spring17	Erythroxylaceae	EROT	4	5	58.13333333	61.5
Spring17	Erythroxylaceae	EROT	5	1	67.93333333	60
Spring17	Erythroxylaceae	EROT	5	2	95.76666667	61.5
Spring17	Erythroxylaceae	EROT	5	3	104.0333333	37.5
Spring17	Erythroxylaceae	EROT	5	4	67.5	54
Spring17	Erythroxylaceae	EROT	5	5	46.36666667	65
Spring17	Erythroxylaceae	EROT	6	1	65.16666667	55
Spring17	Erythroxylaceae	EROT	6	2	89.83333333	50
Spring17	Erythroxylaceae	EROT	6	3	113.3833333	36.5
